stem,ref_notes,est_notes,COnPOff_P,COnPOff_R,COnPOff_F,COnP_P,COnP_R,COnP_F,COn_P,COn_R,COn_F,Split,Merged,Spurious
F02_0113_0002_2_D,22,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5909090909090909,0.0
F02_0126_0001_1_D,28,28,0.0,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.10714285714285714,0.10714285714285714,0.10714285714285714,0.5714285714285714,0.5714285714285714,0.0
F02_0126_0001_2_D,28,27,0.0,0.0,0.0,0.0,0.0,0.0,0.14814814814814814,0.14285714285714285,0.14545454545454545,0.42857142857142855,0.4642857142857143,0.0
F02_0126_0002_1_D,28,39,0.0,0.0,0.0,0.0,0.0,0.0,0.07692307692307693,0.10714285714285714,0.08955223880597014,0.6428571428571429,0.6428571428571429,0.17857142857142858
F02_0126_0002_2_D,28,39,0.0,0.0,0.0,0.0,0.0,0.0,0.10256410256410256,0.14285714285714285,0.11940298507462686,0.5357142857142857,0.6071428571428571,0.2857142857142857
F02_0126_0003_1_D,26,30,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.2692307692307692,0.25,0.5769230769230769,0.5,0.0
F02_0126_0003_2_D,26,32,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.3076923076923077,0.27586206896551724,0.5384615384615384,0.46153846153846156,0.0
F02_0143_0001_1,34,35,0.0,0.0,0.0,0.0,0.0,0.0,0.05714285714285714,0.058823529411764705,0.05797101449275362,0.5882352941176471,0.7058823529411765,0.0
F02_0149_0001_1_D,32,31,0.0,0.0,0.0,0.03225806451612903,0.03125,0.031746031746031744,0.12903225806451613,0.125,0.12698412698412698,0.4375,0.46875,0.15625
F02_0149_0001_2_D,32,29,0.034482758620689655,0.03125,0.03278688524590164,0.13793103448275862,0.125,0.13114754098360656,0.5517241379310345,0.5,0.5245901639344263,0.34375,0.40625,0.15625
F02_0149_0002_1_D,32,32,0.0,0.0,0.0,0.03125,0.03125,0.03125,0.125,0.125,0.125,0.5,0.5625,0.0
F02_0149_0002_2_D,32,33,0.0,0.0,0.0,0.0,0.0,0.0,0.06060606060606061,0.0625,0.06153846153846154,0.53125,0.625,0.0
F02_0167_0001_1_D,19,21,0.0,0.0,0.0,0.047619047619047616,0.05263157894736842,0.05,0.2857142857142857,0.3157894736842105,0.3,0.47368421052631576,0.5789473684210527,0.0
F02_0167_0001_2_D,19,20,0.0,0.0,0.0,0.05,0.05263157894736842,0.05128205128205128,0.05,0.05263157894736842,0.05128205128205128,0.6842105263157895,0.7894736842105263,0.0
